customer_id,cohort_month,tenure_months,plan,monthly_charges,support_calls_last_90d,login_days_last_30d,churned
C00001,2024-04,25,Premium,104.87,1,0,1
C00002,2023-04,32,Standard,59.08,2,16,0
C00003,2023-02,15,Standard,61.57,1,10,0
C00004,2023-08,59,Standard,51.95,4,15,0
C00005,2023-11,32,Standard,61.73,3,24,0
C00006,2024-04,17,Basic,21.98,0,22,0
C00007,2023-09,5,Premium,92.25,0,19,0
C00008,2023-02,1,Basic,35.53,1,9,1
C00009,2023-08,1,Basic,37.67,5,6,1
C00010,2023-06,54,Premium,107.36,4,17,0
C00011,2023-01,18,Premium,101.58,2,21,0
C00012,2023-03,1,Basic,28.16,3,16,0
C00013,2023-06,58,Basic,26.11,1,4,1
C00014,2024-06,43,Premium,102.37,1,16,0
C00015,2023-05,57,Basic,30.73,0,12,0
C00016,2023-09,32,Basic,32.8,3,8,1
C00017,2024-02,42,Standard,57.79,2,17,0
C00018,2023-03,21,Standard,58.95,0,18,0
C00019,2023-10,59,Premium,99.66,3,20,0
C00020,2023-12,37,Basic,27.87,0,1,0
C00021,2023-07,41,Premium,94.98,1,27,0
C00022,2024-03,26,Standard,62.95,1,19,0
C00023,2023-04,57,Basic,31.94,0,4,0
C00024,2023-04,30,Premium,110.1,3,13,0
C00025,2023-01,45,Premium,98.16,2,20,0
C00026,2023-08,51,Basic,28.25,0,23,0
C00027,2024-01,57,Basic,22.81,2,11,0
C00028,2024-04,8,Premium,99.56,3,12,0
C00029,2024-01,52,Premium,97.36,0,20,0
C00030,2024-01,5,Basic,23.02,1,20,0
C00031,2023-04,44,Premium,96.27,3,21,0
C00032,2023-06,55,Premium,99.69,2,26,0
C00033,2023-01,30,Standard,57.09,2,18,0
C00034,2024-02,33,Premium,94.11,2,5,0
C00035,2024-03,25,Standard,57.24,2,20,0
C00036,2024-06,51,Standard,56.85,1,0,0
C00037,2024-03,24,Premium,93.8,4,20,1
C00038,2024-03,21,Premium,96.92,4,20,1
C00039,2024-05,31,Basic,29.26,2,5,1
C00040,2023-11,58,Standard,49.34,1,12,1
C00041,2024-05,53,Standard,51.4,2,18,0
C00042,2023-08,42,Premium,104.55,0,14,0
C00043,2023-08,16,Basic,31.57,0,30,0
C00044,2023-03,50,Standard,56.66,2,24,0
