campaign_id,date,channel,spend,impressions,clicks,conversions,revenue,roi
CAM0001,2024-02-06,Search,4729.43,744613,18863,961,198969.95,4107.1
CAM0002,2024-02-29,Email,4206.82,250511,5494,234,51482.8,1123.8
CAM0003,2024-10-13,Search,6222.48,582419,9096,560,134165.15,2056.1
CAM0004,2024-09-11,Display,2856.22,449390,14764,265,39193.06,1272.2
CAM0005,2024-03-06,Affiliate,5622.71,1094491,6360,340,88271.29,1469.9
CAM0006,2024-05-08,Social,2814.98,226334,1228,24,6551.99,132.8
CAM0007,2024-03-08,Email,5381.74,518403,12758,687,92519.79,1619.1
CAM0008,2024-11-07,Social,1225.1,96750,4502,43,4508.5,268.0
CAM0009,2024-03-14,Search,3677.29,443979,18756,1419,363745.87,9791.7
CAM0010,2024-10-23,Display,3654.32,613820,11338,130,25012.1,584.5
CAM0011,2024-08-05,Display,5103.7,446249,8296,74,21828.17,327.7
CAM0012,2024-03-22,Social,7928.41,1199569,58130,973,291850.99,3581.1
CAM0013,2024-07-02,Social,869.77,164973,5887,91,25541.79,2836.6
CAM0014,2024-06-29,Affiliate,3332.88,243626,11360,454,96196.61,2786.3
CAM0015,2024-01-01,Search,5450.06,898821,25872,1977,259896.48,4668.7
CAM0016,2024-09-18,Search,8758.88,1694196,44723,2931,783310.39,8843.0
CAM0017,2024-08-26,Affiliate,6689.01,1307016,39067,1286,179068.99,2577.1
CAM0018,2024-11-15,Social,5579.11,295272,11632,229,34172.79,512.5
CAM0019,2024-04-06,Social,4701.38,442160,20061,463,99205.63,2010.1
CAM0020,2024-01-10,Social,6967.8,363921,14018,303,37623.16,440.0
CAM0021,2024-01-23,Email,4886.81,921761,31469,1549,387812.16,7835.9
CAM0022,2024-10-24,Affiliate,6757.18,620129,4776,104,9544.05,41.2
CAM0023,2024-02-08,Social,5487.82,715649,22163,292,29326.14,434.4
CAM0024,2024-06-12,Social,7618.42,384210,14989,363,80036.22,950.6
CAM0025,2024-07-13,Search,7453.17,679793,12183,396,93822.79,1158.8
CAM0026,2024-12-12,Display,4662.24,646559,19337,292,46059.47,887.9
CAM0027,2024-01-27,Social,7808.27,1192941,53241,1294,146058.43,1770.6
CAM0028,2024-10-17,Affiliate,4144.74,822367,24923,870,117414.01,2732.8
CAM0029,2024-12-16,Social,2915.71,493097,4300,136,24609.22,744.0
CAM0030,2024-08-30,Email,6302.6,763329,7453,317,50844.51,706.7
CAM0031,2024-07-19,Display,6087.87,313534,5311,61,12657.85,107.9
CAM0032,2024-10-21,Email,4397.31,752721,11029,383,48074.09,993.3
CAM0033,2024-05-22,Affiliate,3524.16,210654,6893,291,25219.19,615.6
CAM0034,2024-01-03,Search,7095.08,1399989,9141,534,152826.39,2054.0
CAM0035,2024-01-19,Search,3414.33,292267,1531,127,10998.12,222.1
CAM0036,2024-04-03,Affiliate,5158.08,704655,8275,103,13668.4,165.0
CAM0037,2024-10-19,Social,3589.47,610067,26842,673,137174.19,3721.6
CAM0038,2024-11-18,Email,3420.53,547769,11275,515,66438.23,1842.3
CAM0039,2024-04-16,Social,2511.51,185851,5076,97,25536.22,916.8
CAM0040,2024-02-27,Search,2826.19,445611,19860,813,135959.04,4710.7
CAM0041,2024-04-19,Social,3482.72,497600,5867,162,18337.59,426.5
CAM0042,2024-12-27,Search,5833.88,435571,17879,1877,185414.0,3078.2
CAM0043,2024-05-13,Email,3804.48,561486,12276,721,199805.51,5151.8
CAM0044,2024-03-23,Social,8716.42,1588021,27830,817,101470.85,1064.1
CAM0045,2024-02-03,Display,7271.41,395795,17298,215,33210.59,356.7
CAM0046,2024-09-22,Affiliate,5462.99,305854,13152,361,62618.91,1046.2
CAM0047,2024-05-17,Social,344.11,24677,658,15,2464.0,616.1
CAM0048,2024-02-19,Email,3080.96,254980,6942,272,64529.06,1994.4
CAM0049,2024-07-16,Display,3347.85,522310,8368,110,31108.12,829.2
CAM0050,2024-09-08,Affiliate,4600.79,808766,8989,470,66507.38,1345.6
CAM0051,2024-02-12,Search,3553.62,480408,18000,1233,285356.91,7930.0
CAM0052,2024-07-10,Email,4617.79,332184,7443,305,47594.22,930.7
CAM0053,2024-02-22,Display,4845.99,827746,27582,481,122856.67,2435.2
CAM0054,2024-03-11,Search,6686.17,742256,29832,1673,271240.33,3956.7
CAM0055,2024-12-07,Affiliate,3778.49,440615,16052,466,132897.68,3417.2
CAM0056,2024-01-01,Social,5231.29,501006,16700,200,23070.14,341.0
CAM0057,2024-07-25,Email,4568.95,265020,6459,323,73013.41,1498.0
CAM0058,2024-09-03,Social,3549.09,691527,31269,696,117001.87,3196.7
CAM0059,2024-01-10,Search,5530.8,906178,4743,145,39807.31,619.7
CAM0060,2024-02-08,Social,5412.86,316938,7024,133,19788.69,265.6
CAM0061,2024-10-04,Email,8694.96,1577363,23617,1125,150835.88,1634.8
CAM0062,2024-12-03,Display,3162.19,558985,15611,85,17138.84,442.0
CAM0063,2024-02-08,Search,4900.87,356300,15678,1418,268394.56,5376.5
CAM0064,2024-04-18,Email,3789.87,408867,16975,835,67823.55,1689.6
CAM0065,2024-10-20,Affiliate,6480.55,605361,13595,623,174439.49,2591.7
CAM0066,2024-04-15,Social,4991.91,692156,18436,325,56350.48,1028.8
CAM0067,2024-01-15,Affiliate,4480.66,810201,32326,834,156112.13,3384.1
